ph,ec,orp,turbidite,debi,delta_basinc,sinif
6.74,1.63,203.0,16.0,2.64,0.171,biyolojik
6.19,1.62,168.0,11.9,2.86,0.173,biyolojik
6.26,1.08,369.0,2.2,3.49,0.111,normal
6.99,2.88,155.0,7.0,2.25,0.02,biyolojik
6.18,0.97,280.0,42.5,0.78,0.416,fiziksel
7.33,0.77,374.0,6.7,3.14,0.613,kimyasal
7.92,2.09,322.0,1.3,2.42,0.189,kimyasal
6.12,1.42,368.0,22.1,2.02,0.39,fiziksel
6.98,1.63,304.0,42.2,2.8,0.535,biyolojik
6.28,1.53,461.0,16.9,3.08,0.257,kimyasal
5.44,1.84,151.0,7.5,2.09,0.198,biyolojik
6.86,1.59,69.0,4.3,3.24,0.234,biyolojik
7.22,1.98,284.0,3.1,2.4,0.275,biyolojik
7.06,1.07,359.0,24.3,2.22,0.25,fiziksel
6.63,1.44,324.0,28.6,3.89,0.395,biyolojik
6.19,2.03,153.0,10.4,2.12,0.02,biyolojik
5.08,1.81,164.0,14.8,3.9,0.33,biyolojik
7.06,1.42,438.0,19.7,1.66,0.575,fiziksel
5.66,1.18,173.0,32.8,0.46,0.461,fiziksel
8.25,3.92,331.0,7.9,2.61,0.246,kimyasal
7.13,1.24,391.0,3.9,3.84,0.128,normal
8.84,3.47,341.0,8.6,1.21,0.368,kimyasal
7.46,1.56,175.0,15.2,3.63,0.275,biyolojik
6.04,1.25,100.0,18.4,2.78,0.386,biyolojik
7.4,1.59,207.0,31.0,0.99,0.31,fiziksel
9.05,2.11,319.0,20.1,2.35,0.488,kimyasal
7.86,3.23,385.0,5.2,2.78,0.414,kimyasal
7.89,2.18,275.0,9.3,1.89,0.368,kimyasal
6.9,0.4,322.0,16.1,2.59,0.483,kimyasal
7.14,1.51,262.0,36.1,4.18,0.253,biyolojik
6.11,1.06,74.0,6.8,1.87,0.19,biyolojik
6.96,0.63,373.0,39.9,1.64,0.554,fiziksel
6.46,1.03,165.0,13.8,3.09,0.45,biyolojik
6.12,1.03,342.0,38.1,1.59,0.554,fiziksel
7.1,0.37,297.0,0.0,4.2,0.02,normal
7.35,1.87,203.0,9.8,3.08,0.276,biyolojik
7.45,0.79,106.0,21.0,3.68,0.398,biyolojik
5.92,1.23,172.0,15.8,2.62,0.1,biyolojik
7.44,1.48,323.0,38.4,1.54,0.551,fiziksel
7.56,1.85,279.0,5.4,2.71,0.284,biyolojik
6.23,1.44,217.0,1.8,1.77,0.176,biyolojik
6.83,1.37,366.0,34.7,0.91,0.515,fiziksel
6.37,0.32,154.0,13.7,3.28,0.427,biyolojik
6.6,1.21,335.0,4.6,4.88,0.206,normal
6.88,2.52,257.0,12.6,2.22,0.21,biyolojik
7.25,0.6,340.0,36.1,3.89,0.628,fiziksel
7.49,2.06,338.0,25.3,2.18,0.498,fiziksel
7.54,0.56,216.0,32.4,2.86,0.111,biyolojik
7.58,1.91,210.0,7.0,2.29,0.405,kimyasal
6.31,2.21,79.0,18.6,2.71,0.329,biyolojik
7.71,3.14,289.0,21.3,3.13,0.436,biyolojik
6.88,1.27,156.0,32.3,3.38,0.272,biyolojik
6.58,0.97,462.0,30.1,1.16,0.278,fiziksel
7.32,2.04,287.0,8.4,2.86,0.497,biyolojik
8.99,3.97,289.0,7.1,1.5,0.29,kimyasal
8.34,2.48,321.0,20.6,2.05,0.28,kimyasal
5.7,2.28,187.0,16.1,2.98,0.02,biyolojik
6.3,1.72,312.0,14.8,2.63,0.331,biyolojik
7.04,2.44,279.0,28.4,3.54,0.331,biyolojik
8.48,2.55,326.0,5.1,2.1,0.191,kimyasal
8.4,1.12,343.0,13.9,3.44,0.397,kimyasal
7.99,1.96,312.0,8.2,2.04,0.457,fiziksel
6.81,1.4,252.0,43.9,1.61,0.894,fiziksel
7.45,1.77,465.0,52.0,2.13,0.765,fiziksel
6.27,1.35,133.0,19.7,3.1,0.465,biyolojik
6.25,1.04,273.0,12.6,3.21,0.169,biyolojik
7.74,1.16,339.0,3.2,4.32,0.02,normal
6.17,0.88,262.0,7.9,3.12,0.191,biyolojik
7.75,1.95,262.0,47.6,3.21,0.765,fiziksel
6.33,1.25,259.0,13.9,3.14,0.47,biyolojik
6.79,1.32,258.0,18.9,2.26,0.35,biyolojik
6.3,1.48,213.0,0.3,4.72,0.042,normal
7.06,1.49,195.0,28.2,3.88,0.469,biyolojik
5.43,1.37,439.0,37.1,1.25,0.776,fiziksel
8.58,4.38,238.0,18.1,3.1,0.465,kimyasal
9.13,4.5,324.0,0.0,2.35,0.601,kimyasal
8.07,1.8,447.0,12.4,2.06,0.438,kimyasal
6.7,1.59,327.0,17.6,1.65,0.519,biyolojik
7.59,0.97,128.0,19.1,3.15,0.473,biyolojik
6.61,1.47,269.0,33.3,2.73,0.385,biyolojik
6.45,1.06,261.0,18.1,3.53,0.178,biyolojik
6.97,1.18,500.0,1.0,4.56,0.143,normal
6.87,1.89,118.0,20.0,3.62,0.467,biyolojik
6.84,0.51,375.0,30.4,1.84,0.553,fiziksel
6.07,0.3,159.0,17.6,3.67,0.387,biyolojik
7.38,1.18,238.0,36.2,3.63,0.432,biyolojik
6.94,0.81,350.0,2.6,2.27,0.396,biyolojik
8.11,1.37,267.0,27.8,3.36,0.472,biyolojik
6.64,1.11,297.0,21.9,0.72,0.69,fiziksel
7.11,0.98,347.0,0.0,4.06,0.044,normal
6.63,2.3,99.0,24.0,3.5,0.314,biyolojik
7.91,0.78,336.0,49.7,1.79,0.604,fiziksel
9.27,4.22,247.0,10.6,2.98,0.967,kimyasal
6.88,0.66,424.0,18.7,1.9,0.633,fiziksel
6.24,1.41,329.0,4.5,1.65,0.616,fiziksel
6.95,1.35,392.0,6.1,3.14,0.161,kimyasal
6.07,0.94,172.0,16.7,2.1,0.23,biyolojik
6.89,1.37,329.0,11.2,3.55,0.439,biyolojik
6.9,1.98,267.0,10.4,2.36,0.359,biyolojik
7.17,0.63,426.0,50.8,1.88,0.461,fiziksel
8.08,3.17,341.0,3.6,2.22,0.446,kimyasal
6.13,1.99,273.0,14.0,3.22,0.301,biyolojik
7.18,0.95,428.0,22.8,2.17,0.458,fiziksel
7.81,3.14,357.0,0.0,2.2,0.624,kimyasal
7.26,0.91,363.0,6.3,4.31,0.053,normal
6.85,1.08,154.0,18.1,3.4,0.415,biyolojik
6.77,1.99,193.0,5.3,2.66,0.214,biyolojik
8.28,1.5,302.0,4.8,2.34,0.448,kimyasal
6.29,1.48,347.0,2.3,3.97,0.204,normal
7.1,1.36,108.0,13.0,1.36,0.353,fiziksel
7.49,1.79,175.0,16.5,3.76,0.209,biyolojik
5.75,2.32,239.0,22.4,2.86,0.416,biyolojik
6.54,1.27,133.0,14.5,3.09,0.26,biyolojik
5.59,0.66,202.0,20.7,3.39,0.144,biyolojik
5.44,0.64,103.0,4.2,3.23,0.304,biyolojik
8.96,3.47,330.0,8.2,3.21,0.63,kimyasal
6.44,1.37,253.0,29.6,3.39,0.28,biyolojik
5.94,1.33,244.0,26.4,3.64,0.496,biyolojik
7.59,2.03,292.0,3.1,2.85,0.24,kimyasal
8.75,2.96,381.0,7.8,2.71,0.485,kimyasal
8.46,2.97,303.0,12.5,2.7,0.551,kimyasal
7.25,1.57,364.0,1.5,4.61,0.178,normal
7.18,2.03,111.0,15.1,2.66,0.306,biyolojik
6.92,0.81,359.0,2.1,3.83,0.097,normal
6.76,1.57,211.0,23.8,2.92,0.336,biyolojik
7.15,0.66,392.0,53.5,2.28,0.605,fiziksel
6.15,1.17,86.0,28.3,3.43,0.292,biyolojik
7.25,1.06,289.0,20.9,1.45,0.432,fiziksel
7.99,2.6,235.0,11.1,3.67,0.307,kimyasal
7.15,1.71,171.0,20.2,2.3,0.26,biyolojik
6.97,1.69,365.0,1.2,3.29,0.353,kimyasal
6.25,2.34,301.0,18.8,3.16,0.551,biyolojik
7.81,0.9,350.0,15.2,3.17,0.495,fiziksel
5.85,2.6,128.0,29.7,3.83,0.391,biyolojik
7.06,1.42,178.0,38.0,2.93,0.26,biyolojik
8.65,3.21,186.0,13.4,2.67,0.138,kimyasal
8.05,1.05,386.0,20.3,1.79,0.428,fiziksel
6.65,2.0,105.0,11.7,2.81,0.257,biyolojik
6.45,2.09,119.0,17.9,3.35,0.184,biyolojik
6.27,0.56,324.0,43.4,2.13,0.458,fiziksel
8.92,3.53,301.0,19.0,3.0,0.527,kimyasal
7.32,1.81,266.0,5.3,3.96,0.196,normal
6.5,0.87,89.0,16.5,2.39,0.172,biyolojik
7.37,2.55,232.0,7.1,2.9,0.441,biyolojik
6.74,1.04,310.0,20.8,2.34,0.459,biyolojik
7.44,1.98,219.0,15.4,2.22,0.683,kimyasal
6.19,1.58,290.0,30.7,1.67,0.479,biyolojik
7.53,1.59,449.0,48.0,2.3,0.906,fiziksel
8.36,3.8,305.0,8.9,3.34,0.323,kimyasal
7.6,1.71,313.0,46.0,0.98,0.598,fiziksel
6.87,0.34,451.0,5.5,4.51,0.102,normal
6.98,0.59,367.0,2.3,3.95,0.129,normal
6.7,1.36,105.0,23.3,2.65,0.434,biyolojik
7.77,1.85,178.0,19.9,3.41,0.21,biyolojik
7.51,0.34,324.0,60.0,1.11,0.922,fiziksel
6.34,1.91,276.0,8.1,2.75,0.106,biyolojik
7.03,1.36,211.0,21.9,3.72,0.311,biyolojik
6.91,1.11,315.0,35.1,1.01,0.781,fiziksel
7.91,0.95,283.0,0.0,3.61,0.079,normal
6.39,0.3,330.0,22.6,2.67,0.365,biyolojik
6.44,1.43,269.0,23.5,1.55,0.388,biyolojik
6.44,0.77,360.0,30.3,0.95,0.634,fiziksel
7.26,0.82,458.0,41.1,0.8,0.594,fiziksel
8.11,3.02,388.0,9.7,2.02,0.47,kimyasal
6.31,1.62,467.0,3.8,3.03,0.112,normal
7.98,3.1,244.0,17.2,3.5,0.142,kimyasal
8.91,2.26,264.0,6.6,2.83,0.53,kimyasal
7.55,1.13,440.0,22.3,0.25,0.701,fiziksel
6.41,0.99,248.0,45.8,0.88,0.503,fiziksel
7.04,1.39,349.0,34.4,1.44,0.505,fiziksel
7.0,1.31,321.0,33.9,2.37,0.669,fiziksel
8.03,1.85,374.0,8.1,3.42,0.244,kimyasal
6.93,0.8,395.0,60.0,1.97,0.681,fiziksel
6.6,1.53,43.0,35.2,3.77,0.504,biyolojik
8.44,3.55,262.0,8.3,1.97,0.293,kimyasal
7.99,1.09,456.0,4.0,3.62,0.157,normal
6.6,0.78,175.0,8.9,3.0,0.324,biyolojik
6.59,2.23,260.0,12.6,2.43,0.285,biyolojik
7.0,0.47,500.0,4.3,4.53,0.143,normal
6.33,0.41,228.0,55.9,2.81,0.826,fiziksel
6.97,0.53,169.0,22.0,2.18,0.349,biyolojik
7.36,0.82,433.0,47.6,1.93,0.559,fiziksel
7.35,3.51,236.0,12.8,2.55,0.529,kimyasal
6.46,1.41,402.0,38.4,2.38,0.462,fiziksel
6.42,1.76,193.0,25.9,3.97,0.185,biyolojik
6.97,1.33,426.0,16.7,3.0,0.724,fiziksel
6.53,1.42,316.0,11.8,2.23,0.297,biyolojik
7.46,1.31,290.0,17.8,2.55,0.844,fiziksel
6.11,0.87,365.0,17.4,0.2,0.067,fiziksel
6.93,1.79,207.0,39.1,3.44,0.513,biyolojik
6.41,1.26,481.0,21.0,1.45,0.527,fiziksel
8.77,4.48,249.0,13.3,3.87,0.301,kimyasal
6.48,0.55,164.0,22.1,2.79,0.284,biyolojik
6.47,0.47,462.0,19.7,0.98,0.384,fiziksel
8.64,3.94,345.0,7.0,2.88,0.4,kimyasal
5.81,1.42,436.0,8.7,4.41,0.084,normal
6.68,1.79,337.0,38.2,1.19,0.704,fiziksel
9.0,2.71,264.0,7.3,2.56,0.39,kimyasal
7.73,1.41,413.0,36.1,1.22,0.746,fiziksel
7.76,2.3,343.0,17.1,2.27,0.535,fiziksel
8.61,3.14,300.0,6.6,2.64,0.126,kimyasal
6.92,0.99,276.0,23.3,2.83,0.307,normal
7.5,3.81,167.0,27.7,3.79,0.492,biyolojik
6.06,2.03,246.0,14.8,3.63,0.421,biyolojik
5.71,1.41,302.0,29.2,1.36,0.526,fiziksel
8.19,2.41,386.0,23.4,2.2,0.431,kimyasal
7.92,1.34,216.0,45.0,3.94,0.678,fiziksel
6.87,1.59,408.0,45.5,2.15,0.858,fiziksel
7.46,1.45,167.0,15.1,2.84,0.262,biyolojik
7.9,2.41,337.0,24.8,2.76,0.469,fiziksel
8.29,3.49,310.0,5.9,3.15,0.238,kimyasal
7.39,0.66,258.0,32.4,2.42,0.814,fiziksel
6.37,1.23,167.0,37.1,2.71,0.312,biyolojik
6.27,0.83,303.0,13.0,2.39,0.105,biyolojik
6.56,1.27,377.0,14.3,2.09,0.372,fiziksel
6.89,1.44,385.0,33.6,2.18,0.756,fiziksel
7.56,0.98,383.0,50.3,2.02,0.807,fiziksel
5.99,1.85,122.0,8.7,2.06,0.498,biyolojik
8.28,1.01,364.0,19.9,2.07,0.532,fiziksel
6.33,1.6,260.0,23.5,3.31,0.282,biyolojik
7.1,0.77,352.0,22.8,3.12,0.282,fiziksel
6.48,1.1,364.0,2.2,3.88,0.157,normal
6.88,2.36,151.0,18.9,3.11,0.402,biyolojik
7.41,1.45,142.0,21.7,3.63,0.323,biyolojik
6.76,1.09,202.0,6.1,2.4,0.155,biyolojik
6.33,1.32,453.0,60.0,3.14,0.67,fiziksel
6.83,2.7,119.0,28.8,3.51,0.511,biyolojik
6.42,1.17,59.0,25.8,3.22,0.105,biyolojik
6.98,0.84,354.0,15.6,2.36,0.274,normal
6.75,0.64,306.0,22.8,1.77,0.626,fiziksel
7.45,1.04,404.0,54.9,3.04,0.936,fiziksel
8.77,2.7,287.0,5.9,3.1,0.751,kimyasal
6.33,0.99,327.0,19.6,3.03,0.54,biyolojik
7.24,2.04,292.0,5.9,2.58,0.245,biyolojik
6.49,0.76,386.0,40.2,3.15,0.768,fiziksel
7.35,1.53,386.0,11.4,3.11,0.297,normal
7.65,0.64,303.0,40.3,0.61,0.605,fiziksel
7.01,1.15,393.0,34.2,3.76,0.844,fiziksel
9.26,3.18,203.0,8.1,1.45,0.348,kimyasal
7.62,1.13,327.0,10.8,0.87,0.467,fiziksel
6.37,1.52,240.0,15.4,3.05,0.406,biyolojik
8.34,1.26,346.0,0.7,4.91,0.036,normal
7.57,1.38,327.0,4.4,4.16,0.072,normal
8.55,2.09,310.0,9.8,3.01,0.421,kimyasal
7.23,1.49,356.0,60.0,3.43,0.791,fiziksel
8.58,3.39,296.0,12.9,1.75,0.62,kimyasal
7.36,0.99,281.0,31.0,2.67,0.803,fiziksel
5.77,2.19,28.0,21.8,3.17,0.213,biyolojik
6.95,1.29,314.0,42.1,1.03,0.866,fiziksel
7.39,1.97,371.0,1.1,3.1,0.02,normal
6.53,1.43,201.0,14.2,2.79,0.266,biyolojik
6.24,0.75,407.0,41.9,1.59,0.62,fiziksel
6.62,2.17,221.0,25.0,1.89,0.324,biyolojik
8.7,3.68,291.0,7.1,3.73,0.417,kimyasal
7.48,2.18,256.0,18.5,2.11,0.268,kimyasal
6.96,1.56,190.0,17.3,3.96,0.373,biyolojik
7.6,1.88,228.0,17.7,3.23,0.377,biyolojik
7.81,1.78,326.0,13.5,1.86,0.387,fiziksel
6.91,0.78,55.0,28.4,3.42,0.032,biyolojik
7.15,0.54,418.0,21.2,2.32,0.368,fiziksel
7.24,1.39,301.0,26.5,1.37,0.568,fiziksel
7.77,2.37,423.0,3.8,2.21,0.137,kimyasal
7.59,1.91,394.0,16.5,2.0,0.511,kimyasal
6.3,0.88,319.0,32.4,1.63,0.404,fiziksel
7.64,1.95,348.0,13.1,1.95,0.458,kimyasal
6.82,0.99,410.0,52.4,1.52,0.322,fiziksel
6.39,1.85,140.0,22.2,2.59,0.24,biyolojik
7.63,1.07,472.0,46.6,3.07,0.707,fiziksel
6.96,0.96,241.0,3.7,4.16,0.099,normal
8.66,1.39,266.0,16.1,2.51,0.142,kimyasal
6.49,2.01,363.0,23.0,2.78,0.392,biyolojik
6.38,1.05,413.0,43.7,3.05,0.766,fiziksel
6.92,1.07,312.0,56.9,3.89,0.912,fiziksel
7.49,2.2,367.0,13.4,3.19,0.328,kimyasal
7.53,0.88,489.0,16.5,2.2,0.725,fiziksel
7.43,1.04,170.0,20.3,2.88,0.161,biyolojik
7.81,2.43,429.0,5.4,2.29,0.205,kimyasal
7.72,2.18,382.0,13.7,2.29,0.387,fiziksel
7.1,1.6,112.0,24.3,3.02,0.444,biyolojik
7.29,1.29,248.0,1.4,4.04,0.191,normal
6.99,1.63,373.0,53.3,2.6,0.833,fiziksel
6.82,1.61,474.0,47.8,2.22,0.341,fiziksel
7.6,3.22,237.0,10.4,2.3,0.318,kimyasal
7.25,0.65,201.0,9.6,2.5,0.44,biyolojik
7.07,1.02,150.0,27.7,1.95,0.683,fiziksel
6.62,1.46,293.0,12.5,3.15,0.302,biyolojik
6.41,0.95,186.0,15.9,3.24,0.245,biyolojik
8.49,2.18,397.0,12.7,1.99,0.416,kimyasal
6.23,0.81,153.0,0.0,2.47,0.361,biyolojik
6.71,1.53,188.0,4.0,3.48,0.104,normal
6.53,0.84,276.0,14.8,3.23,0.078,biyolojik
6.94,1.18,217.0,17.9,2.37,0.188,biyolojik
9.05,3.14,361.0,13.4,2.04,0.44,kimyasal
6.8,1.02,381.0,4.0,3.94,0.02,normal
7.93,1.91,202.0,18.9,3.89,0.338,biyolojik
6.09,1.15,468.0,32.0,0.6,0.326,fiziksel
6.99,1.33,142.0,24.1,3.0,0.342,biyolojik
6.5,1.09,394.0,3.3,4.33,0.153,normal
6.72,0.54,381.0,46.9,3.4,0.816,fiziksel
5.99,0.96,303.0,15.9,2.68,0.528,biyolojik
8.52,3.54,438.0,26.0,2.35,0.386,kimyasal
8.24,2.58,364.0,12.9,2.71,0.263,kimyasal
7.48,1.33,434.0,55.7,1.69,0.854,fiziksel
8.8,3.51,368.0,12.3,2.34,0.523,kimyasal
6.6,1.15,359.0,5.6,4.63,0.02,normal
6.53,2.01,212.0,16.6,2.39,0.23,biyolojik
9.56,3.57,297.0,4.2,2.17,0.335,kimyasal
7.06,0.58,353.0,19.8,0.58,0.608,fiziksel
5.59,1.55,72.0,24.8,3.92,0.471,biyolojik
8.22,2.64,391.0,6.2,2.38,0.105,kimyasal
7.08,0.45,386.0,52.3,3.81,0.785,fiziksel
8.11,1.25,375.0,25.9,1.1,0.324,fiziksel
7.81,0.57,433.0,30.3,3.31,0.905,fiziksel
7.4,1.55,349.0,24.9,1.31,0.535,fiziksel
6.95,1.26,386.0,10.4,1.18,0.251,fiziksel
7.18,1.16,128.0,25.0,3.75,0.422,biyolojik
6.71,1.0,425.0,40.0,2.23,0.494,fiziksel
6.98,1.15,407.0,17.1,2.27,0.321,fiziksel
8.08,2.85,290.0,3.1,1.87,0.577,kimyasal
7.01,1.08,370.0,31.7,1.5,0.35,fiziksel
6.25,1.15,208.0,15.4,2.91,0.251,biyolojik
6.95,0.66,214.0,40.8,1.04,0.555,fiziksel
7.56,3.12,274.0,7.5,2.53,0.452,kimyasal
6.63,1.04,277.0,24.2,2.88,0.399,biyolojik
6.51,0.91,339.0,5.6,3.99,0.057,normal
6.41,0.93,447.0,6.5,3.99,0.037,normal
5.82,0.94,245.0,21.5,3.74,0.38,biyolojik
7.51,1.63,374.0,5.4,2.59,0.265,fiziksel
6.14,0.49,253.0,54.9,2.91,0.093,biyolojik
6.55,1.45,171.0,4.7,1.82,0.55,fiziksel
6.16,1.22,338.0,20.2,1.49,0.497,fiziksel
7.05,0.99,378.0,38.1,3.17,0.544,fiziksel
7.3,0.76,272.0,41.9,2.4,0.935,fiziksel
8.52,1.33,366.0,11.2,1.26,0.398,fiziksel
6.48,1.17,384.0,40.6,1.2,0.435,fiziksel
5.87,1.38,356.0,19.5,2.8,0.211,biyolojik
7.32,1.29,232.0,30.8,1.91,0.494,fiziksel
8.31,3.57,493.0,9.5,3.05,0.411,kimyasal
6.66,1.11,319.0,39.0,1.45,0.375,fiziksel
6.2,1.38,123.0,27.1,3.67,0.432,biyolojik
7.01,0.3,413.0,36.0,3.39,0.953,fiziksel
6.84,0.91,116.0,8.4,2.51,0.131,biyolojik
7.88,1.27,285.0,48.5,1.27,0.58,fiziksel
6.8,1.04,246.0,44.1,2.75,0.591,fiziksel
6.08,1.97,311.0,46.4,3.44,0.498,fiziksel
6.67,1.17,256.0,31.8,1.43,0.83,fiziksel
6.56,1.27,251.0,5.4,3.79,0.071,biyolojik
5.34,0.52,246.0,27.3,1.1,0.404,fiziksel
6.13,1.42,152.0,22.3,2.84,0.062,biyolojik
8.2,2.28,246.0,40.2,1.58,0.641,fiziksel
6.58,1.09,373.0,31.8,2.19,0.897,fiziksel
7.77,2.65,292.0,6.7,2.93,0.408,kimyasal
5.39,1.8,243.0,18.4,2.98,0.211,biyolojik
7.83,0.31,202.0,20.1,0.54,0.513,fiziksel
7.51,1.44,410.0,19.5,3.06,0.565,fiziksel
7.08,2.22,383.0,28.1,2.08,0.374,biyolojik
6.72,1.28,381.0,17.6,3.31,0.332,fiziksel
7.11,1.6,150.0,21.4,3.56,0.433,biyolojik
6.36,1.64,264.0,8.4,2.05,0.284,biyolojik
7.92,1.35,317.0,18.4,2.88,0.681,kimyasal
8.68,3.11,302.0,10.7,2.36,0.422,kimyasal
5.43,1.36,259.0,41.2,3.76,0.394,biyolojik
8.27,2.35,301.0,13.5,2.03,0.307,fiziksel
6.36,0.76,379.0,28.0,1.63,0.45,fiziksel
7.01,0.88,174.0,23.2,3.25,0.357,biyolojik
6.57,1.32,379.0,20.3,1.19,0.646,fiziksel
5.96,1.78,178.0,27.5,2.68,0.454,biyolojik
6.93,0.4,338.0,49.5,1.61,0.648,fiziksel
7.16,0.73,362.0,14.0,2.58,0.079,biyolojik
6.86,0.97,403.0,37.6,2.35,0.647,fiziksel
7.74,0.71,500.0,37.8,2.07,0.602,fiziksel
7.46,2.79,177.0,17.9,3.31,0.324,biyolojik
7.8,0.88,409.0,44.2,2.15,0.807,fiziksel
6.51,1.41,199.0,34.0,1.76,0.301,fiziksel
6.56,1.59,241.0,38.5,1.84,0.713,fiziksel
6.6,0.84,437.0,53.4,2.25,0.768,fiziksel
7.73,2.45,167.0,17.5,3.13,0.351,biyolojik
6.63,0.77,329.0,39.7,2.88,0.157,biyolojik
5.86,0.83,90.0,11.1,2.27,0.308,biyolojik
7.23,0.9,351.0,26.6,1.33,0.408,fiziksel
8.44,3.59,386.0,9.0,3.12,0.29,kimyasal
7.16,1.49,203.0,34.1,3.82,0.282,biyolojik
8.11,2.95,418.0,5.6,2.46,0.512,kimyasal
7.17,1.78,-36.0,17.7,2.26,0.532,biyolojik
6.35,0.96,225.0,13.1,3.23,0.189,biyolojik
7.25,0.96,491.0,38.8,2.74,0.798,fiziksel
6.07,2.14,273.0,16.9,3.01,0.02,biyolojik
9.35,2.18,247.0,14.2,2.93,0.627,kimyasal
7.47,1.32,91.0,20.2,2.42,0.47,biyolojik
7.72,1.09,309.0,7.9,2.1,0.475,kimyasal
7.37,0.34,176.0,31.0,2.71,0.38,biyolojik
7.68,1.51,445.0,34.5,1.67,0.992,fiziksel
6.67,2.19,70.0,12.8,3.18,0.307,biyolojik
6.35,1.39,332.0,33.8,2.19,0.638,fiziksel
7.46,0.34,333.0,33.9,1.32,0.471,fiziksel
6.57,1.32,300.0,17.6,2.48,0.504,kimyasal
7.13,1.14,477.0,22.2,0.36,0.307,fiziksel
8.12,1.85,297.0,9.0,3.49,0.157,normal
5.78,0.37,102.0,16.0,4.07,0.335,biyolojik
7.92,3.09,403.0,9.8,1.18,0.527,kimyasal
5.44,1.31,232.0,18.8,3.37,0.338,biyolojik
7.5,0.58,161.0,15.9,2.66,0.593,biyolojik
7.61,1.86,181.0,13.9,2.26,0.307,biyolojik
6.21,1.58,346.0,26.8,1.53,0.491,fiziksel
7.59,1.57,410.0,60.0,2.61,0.568,fiziksel
6.66,1.13,385.0,33.8,2.05,0.58,fiziksel
7.65,1.32,138.0,18.3,3.23,0.146,biyolojik
6.48,1.5,433.0,41.4,1.53,0.869,fiziksel
7.95,1.34,71.0,14.5,2.69,0.234,biyolojik
8.76,3.09,330.0,9.2,1.62,0.418,kimyasal
7.86,2.6,419.0,12.0,1.72,0.455,kimyasal
6.64,2.15,86.0,26.1,2.75,0.504,biyolojik
6.39,1.65,223.0,26.4,2.28,0.438,biyolojik
7.33,2.21,264.0,20.1,3.05,0.497,kimyasal
6.96,1.15,322.0,28.4,3.12,0.393,biyolojik
7.23,0.56,484.0,23.3,2.41,0.434,fiziksel
6.4,0.99,219.0,23.5,2.29,0.164,biyolojik
6.92,1.66,325.0,7.2,2.71,0.155,biyolojik
6.88,1.57,493.0,18.6,0.86,0.513,fiziksel
6.71,1.25,251.0,17.6,1.87,0.424,biyolojik
7.11,1.08,371.0,11.8,1.89,0.502,fiziksel
8.77,3.05,298.0,13.4,1.95,0.43,kimyasal
6.86,1.22,303.0,48.6,0.88,0.43,fiziksel
5.92,1.48,233.0,28.1,1.89,0.166,biyolojik
6.96,1.19,189.0,56.3,3.31,0.952,fiziksel
5.95,1.56,182.0,22.2,2.61,0.336,biyolojik
5.92,1.37,149.0,38.4,3.35,0.369,biyolojik
7.34,1.12,349.0,8.6,2.92,0.146,normal
7.18,1.05,188.0,16.1,3.95,0.155,biyolojik
7.07,0.72,351.0,38.9,2.16,0.629,fiziksel
6.5,0.63,450.0,31.5,1.05,0.249,fiziksel
7.8,1.9,360.0,11.5,2.65,0.687,kimyasal
7.34,2.26,286.0,19.1,1.66,0.496,kimyasal
6.27,1.35,267.0,27.8,2.85,0.501,biyolojik
5.57,0.99,126.0,28.9,2.62,0.463,biyolojik
7.46,1.4,175.0,38.0,3.55,0.342,biyolojik
5.9,1.57,152.0,40.4,3.35,0.323,biyolojik
8.67,3.87,290.0,9.4,3.48,0.405,kimyasal
6.94,1.32,500.0,2.4,3.15,0.099,normal
7.3,1.27,161.0,29.4,2.01,0.058,biyolojik
6.63,1.72,348.0,1.4,3.98,0.027,normal
5.56,1.43,196.0,0.8,3.42,0.214,biyolojik
7.5,1.59,290.0,16.0,2.4,0.63,kimyasal
6.91,1.6,381.0,13.7,3.16,0.73,fiziksel
6.78,1.03,370.0,33.7,2.08,0.393,fiziksel
7.62,2.03,416.0,13.5,2.48,0.544,kimyasal
8.43,1.53,266.0,12.3,1.64,0.322,kimyasal
8.22,2.64,366.0,12.5,2.4,0.495,kimyasal
8.19,1.4,438.0,41.1,1.68,0.525,fiziksel
7.84,3.65,253.0,0.0,2.44,0.173,kimyasal
7.95,2.2,294.0,6.7,3.88,0.203,kimyasal
7.63,1.57,307.0,26.2,0.71,0.02,fiziksel
6.87,0.99,359.0,13.5,2.85,0.23,biyolojik
6.91,1.4,98.0,27.4,2.97,0.39,biyolojik
7.43,1.06,310.0,5.4,2.8,0.269,fiziksel
5.5,1.47,84.0,29.0,4.39,0.36,biyolojik
7.01,1.99,224.0,17.0,3.72,0.275,biyolojik
5.3,1.39,131.0,0.0,2.52,0.26,biyolojik
8.57,1.99,290.0,11.8,2.28,0.356,kimyasal
7.24,1.31,334.0,36.4,1.07,0.301,fiziksel
6.59,1.09,440.0,4.3,3.56,0.103,normal
6.54,1.56,168.0,39.2,1.84,0.894,fiziksel
6.37,0.3,468.0,2.5,3.91,0.061,normal
6.48,1.66,262.0,31.7,3.73,0.389,biyolojik
6.27,1.32,227.0,18.5,3.58,0.183,biyolojik
8.0,1.98,386.0,17.4,2.99,0.267,kimyasal
8.2,3.83,266.0,18.6,2.67,0.512,kimyasal
7.23,0.77,448.0,3.6,3.51,0.075,normal
7.48,1.25,136.0,17.1,2.21,0.354,biyolojik
